FID,ID,x,y,z,d,txt
111,747,16.171457554000000,111.569229225000000,-0.636099600000000,18.190666666700000,all
112,749,16.171470333999999,111.569227967000000,-0.596448840000000,18.285333333299999,all
113,757,16.171502276599998,111.569224777000000,-0.708388600000000,18.523333333299998,all
114,761,16.171508950400000,111.569224117000000,-0.373970330000000,18.573333333299999,all
115,771,16.171540794399998,111.569220911000000,-0.718288240000000,18.809999999999999,all
116,773,16.171547163100001,111.569220247999990,-0.892282960000000,18.858000000000001,all
117,786,16.171598086300001,111.569215257000000,-0.808996100000000,19.236666666700000,all
118,791,16.171604452499999,111.569214583999990,-1.031691700000000,19.284666666700002,all
119,794,16.171610814699999,111.569213997000010,-0.846199450000000,19.332000000000001,all
120,813,16.171680797499999,111.569207163000000,-0.627573000000000,19.852666666699999,all
121,823,16.171718954599999,111.569203441000000,-0.491945450000000,20.136666666699998,all
122,833,16.171750751699999,111.569200280000000,-0.656307160000000,20.373333333300000,all
123,838,16.171769827999999,111.569198381000010,-0.769362600000000,20.515999999999998,all
124,839,16.171769828300000,111.569198374000000,-0.800104100000000,20.515999999999998,all
125,848,16.171814329299998,111.569194069000010,-0.463363830000000,20.846666666699999,all
126,851,16.171820688600000,111.569193397000010,-0.684955600000000,20.894666666700001,all
127,854,16.171827042699999,111.569192818999990,-0.460785330000000,20.941333333300001,all
128,855,16.171833397400000,111.569192249000000,-0.200437440000000,20.988666666699999,all
129,858,16.171839759600001,111.569191503000000,-0.768462660000000,21.036666666700000,all
130,864,16.171858826699999,111.569189705000000,-0.398923640000000,21.178000000000001,all
131,870,16.171871541400002,111.569188421000010,-0.555667400000000,21.272666666700001,all
132,877,16.171890612199999,111.569186512000000,-0.706616300000000,21.415333333300001,all
133,888,16.171922390799999,111.569183393000000,-0.659324600000000,21.651333333299998,all
134,902,16.171954170599999,111.569180308000000,-0.444851520000000,21.888000000000002,all
135,903,16.171960528800000,111.569179639000000,-0.646965700000000,21.935333333300001,all
136,905,16.171966883400000,111.569179055000010,-0.448267940000000,21.982666666699998,all
137,909,16.171973242300002,111.569178370000000,-0.720989940000000,22.030000000000001,all
138,911,16.171979599400000,111.569177731000000,-0.780955140000000,22.077333333300000,all
