ID x y
145 14.501010553564317 -14.053878438497867
146 14.601017522899243 -14.053871805229221
147 14.70102449223417 -14.053865171895282
148 14.801031461569096 -14.053858538493948
149 14.901038430904022 -14.053851905027475
150 15.001045400238949 -14.053845271493461
151 15.101052369573875 -14.053838637893707
152 15.2010593389088 -14.05383200422819
153 15.301066308243728 -14.053825370494982
154 15.401073277578654 -14.05381873669633
155 15.50108024691358 -14.05381210283085
156 15.601087216248507 -14.053805468898785
157 15.701094185583433 -14.053798834901412
158 15.80110115491836 -14.0537922008373
159 15.901108124253286 -14.053785566706386
160 16.00111509358821 -14.053778932509651
161 16.10112206292314 -14.053772298246747
162 16.201129032258063 -14.053765663917194
163 16.30113600159299 -14.05375902952052
164 16.401142970927918 -14.053752395058716
165 16.501149940262845 -14.05374576052946
166 16.60115690959777 -14.053739125934213
